Genus,BCW-ID,Response,estimate,SE,p.value,p_control
Enterobacter,BCW-201814,Dry Shoot,24.19,5.12,3.54e-04,251.43
Enterobacter,BCW-201814,Fresh Shoot,248.28,71.31,2.23e-02,197.39
Enterobacter,BCW-201849,Dry Shoot,29.35,6.36,5.35e-04,318.22
Enterobacter,BCW-201849,Fresh Shoot,415.22,104.77,4.83e-03,284.66
Enterobacter,BCW-201914,Dry Shoot,20.23,5.41,1.08e-02,276.97
Lelliottia,BCW-200275,Fresh Root,73.12,21.47,3.37e-02,220.29
Lelliottia,BCW-200556,Fresh Root,95.85,21.47,1.06e-03,257.69
Metakosakonia,BCW-201858,Dry Root,4.9,1.59,8.01e-02,202.08
Metakosakonia,BCW-201873,Dry Root,4.93,1.57,5.35e-02,190.23
Metakosakonia,BCW-201873,Dry Shoot,15.52,5.36,9.82e-02,259.15
Metakosakonia,BCW-201873,Fresh Root,70.43,20.78,2.70e-02,287.82
Pantoea,BCW-201864,Dry Root,4.57,1.57,9.55e-02,181.95
Pantoea,BCW-201864,Fresh Root,65.43,20.78,5.18e-02,274.49
Rahnella,BCW-200810,Dry Shoot,21.75,5.36,3.62e-03,323.08
Rahnella,BCW-200810,Fresh Root,60.9,20.78,8.96e-02,262.4
Rahnella,BCW-200810,Fresh Shoot,320.86,77.68,2.83e-03,301.07
Rahnella,BCW-201088,Dry Root,3.9,1.32,9.64e-02,250
Raoultella,BCW-200727,Dry Shoot,21.08,5.03,2.64e-03,238.86
Raoultella,BCW-201900,Dry Root,5.63,1.16,2.17e-04,197.71
Raoultella,BCW-201900,Dry Shoot,25.92,5.12,1.00e-04,262.28
Raoultella,BCW-201900,Fresh Root,79.72,17.66,7.65e-04,292.79
Raoultella,BCW-201900,Fresh Shoot,397.05,71.31,1.40e-05,255.74
Rhodococcus,BCW-200533,Fresh Root,93.02,24.79,1.19e-02,253.03
Serratia,BCW-201153,Dry Shoot,15.12,5.03,9.54e-02,199.56
Serratia,BCW-201809,Fresh Root,62.07,20.78,7.81e-02,265.51
Staphylococcus,BCW-201835,Dry Shoot,15.48,5.03,7.94e-02,201.98
Staphylococcus,BCW-201835,Fresh Shoot,297.52,82.94,1.96e-02,204.94
